Name,Price,Ratings
Nutrameal Polished Green grams 1 kg,KSh 118,4.5 out of 5(231)
Kabras Sugar - 2kg.,KSh 200,4.5 out of 5(822)
Kcc Gold Crown Long Life Milk Pouch - 500ml,KSh 45,4.5 out of 5(70)
Orchid Valley Delight Mango Tetra Pak 1L,KSh 105,4.5 out of 5(114)
Indomie - Chicken 120g,KSh 480,4.6 out of 5(34)
Nutrameal Sugar - 2kg,KSh 200,4.6 out of 5(347)
Blue Band Margarine - 1kg,KSh 285,4.6 out of 5(574)
Exe Chapati Fortified Wheat Flour - 2Kg,KSh 117,4.7 out of 5(171)
Orchid Valley Delight Apple Tetra Pak - 1L,KSh 148,4.6 out of 5(116)
Orchid Valley Tropical Delight Tetra Pak - 1L,KSh 148,4.6 out of 5(117)
Sunlight 2 In 1 Hand Washing Powder Lavender 2kg,KSh 360,4.7 out of 5(53)
Orchid Valley Delight Passion Drink - 1L,KSh 148,4.6 out of 5(136)
Pembe Maize Meal Fortified With Vitamins And Minerals - 2Kg,KSh 94,4.5 out of 5(135)
Omo Auto Washing Powder Fast Action - 4.5kg.,"KSh 1,299",4.6 out of 5(404)
Soko Maize Meal Fortified With Vitamins And Minerals - 2kg,KSh 95,4.7 out of 5(228)
Sunlight 2 In 1 Hand Washing Powder Spring 2kg,KSh 342,4.8 out of 5(72)
Sunlight 2 In 1 Hand Washing Powder Tropical 2kg,KSh 360,4.7 out of 5(47)
